"ID","degree","eigen_clust","walk_clust","url"
"doi:10.18739/A20C80",12,170,57,"https://arcticdata.io/catalog/view/doi:10.18739/A20C80"
"doi:10.18739/A20D1P",76,19,165,"https://arcticdata.io/catalog/view/doi:10.18739/A20D1P"
"doi:10.18739/A20D3F",80,15,133,"https://arcticdata.io/catalog/view/doi:10.18739/A20D3F"
"doi:10.18739/A20D4T",97,5,51,"https://arcticdata.io/catalog/view/doi:10.18739/A20D4T"
"doi:10.18739/A20F79",20,5,51,"https://arcticdata.io/catalog/view/doi:10.18739/A20F79"
"doi:10.18739/A20F92",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A20F92"
"doi:10.18739/A20G00",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A20G00"
"doi:10.18739/A20G1C",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A20G1C"
"doi:10.18739/A20H23",38,16,235,"https://arcticdata.io/catalog/view/doi:10.18739/A20H23"
"doi:10.18739/A20J7B",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A20J7B"
"doi:10.18739/A20J8Q",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A20J8Q"
"doi:10.18739/A20J93",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A20J93"
"doi:10.18739/A20K01",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A20K01"
"doi:10.18739/A20K26B17",109,8,62,"https://arcticdata.io/catalog/view/doi:10.18739/A20K26B17"
"doi:10.18739/A20K5X",7,169,37,"https://arcticdata.io/catalog/view/doi:10.18739/A20K5X"
"doi:10.18739/A20K9F",3,20,106,"https://arcticdata.io/catalog/view/doi:10.18739/A20K9F"
"doi:10.18739/A20M0C",2,21,125,"https://arcticdata.io/catalog/view/doi:10.18739/A20M0C"
"doi:10.18739/A20M1R",28,170,59,"https://arcticdata.io/catalog/view/doi:10.18739/A20M1R"
"doi:10.18739/A20M4W",18,167,24,"https://arcticdata.io/catalog/view/doi:10.18739/A20M4W"
"doi:10.18739/A20N94",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A20N94"
"doi:10.18739/A20P0WQ26",9,170,19,"https://arcticdata.io/catalog/view/doi:10.18739/A20P0WQ26"
"doi:10.18739/A20P0WQ64",109,8,62,"https://arcticdata.io/catalog/view/doi:10.18739/A20P0WQ64"
"doi:10.18739/A20P2T",44,171,52,"https://arcticdata.io/catalog/view/doi:10.18739/A20P2T"
"doi:10.18739/A20P36",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A20P36"
"doi:10.18739/A20P4K",53,22,244,"https://arcticdata.io/catalog/view/doi:10.18739/A20P4K"
"doi:10.18739/A20P5Z",53,23,113,"https://arcticdata.io/catalog/view/doi:10.18739/A20P5Z"
"doi:10.18739/A20P83",76,19,165,"https://arcticdata.io/catalog/view/doi:10.18739/A20P83"
"doi:10.18739/A20Q0D",39,169,59,"https://arcticdata.io/catalog/view/doi:10.18739/A20Q0D"
"doi:10.18739/A20Q25",1,24,141,"https://arcticdata.io/catalog/view/doi:10.18739/A20Q25"
"doi:10.18739/A20R48",97,5,51,"https://arcticdata.io/catalog/view/doi:10.18739/A20R48"
"doi:10.18739/A20R8S",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A20R8S"
"doi:10.18739/A20S2V",28,170,59,"https://arcticdata.io/catalog/view/doi:10.18739/A20S2V"
"doi:10.18739/A20S37",7,25,115,"https://arcticdata.io/catalog/view/doi:10.18739/A20S37"
"doi:10.18739/A20S6C",76,19,165,"https://arcticdata.io/catalog/view/doi:10.18739/A20S6C"
"doi:10.18739/A20S7R",14,170,74,"https://arcticdata.io/catalog/view/doi:10.18739/A20S7R"
"doi:10.18739/A20V5P",3,26,93,"https://arcticdata.io/catalog/view/doi:10.18739/A20V5P"
"doi:10.18739/A20V8T",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A20V8T"
"doi:10.18739/A20W38",26,4,225,"https://arcticdata.io/catalog/view/doi:10.18739/A20W38"
"doi:10.18739/A20W4N",53,23,113,"https://arcticdata.io/catalog/view/doi:10.18739/A20W4N"
"doi:10.18739/A20W85",1,27,154,"https://arcticdata.io/catalog/view/doi:10.18739/A20W85"
"doi:10.18739/A20W9J",21,28,237,"https://arcticdata.io/catalog/view/doi:10.18739/A20W9J"
"doi:10.18739/A20Z4B",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A20Z4B"
"doi:10.18739/A20Z70W1M",32,170,25,"https://arcticdata.io/catalog/view/doi:10.18739/A20Z70W1M"
"doi:10.18739/A20Z70W42",97,5,51,"https://arcticdata.io/catalog/view/doi:10.18739/A20Z70W42"
"doi:10.18739/A20Z8V",27,13,1,"https://arcticdata.io/catalog/view/doi:10.18739/A20Z8V"
"doi:10.18739/A20Z97",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A20Z97"
"doi:10.18739/A2121J",97,5,51,"https://arcticdata.io/catalog/view/doi:10.18739/A2121J"
"doi:10.18739/A2124P",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A2124P"
"doi:10.18739/A2125Q848",26,29,17,"https://arcticdata.io/catalog/view/doi:10.18739/A2125Q848"
"doi:10.18739/A2125Q85R",1,30,192,"https://arcticdata.io/catalog/view/doi:10.18739/A2125Q85R"
"doi:10.18739/A2127T",12,31,229,"https://arcticdata.io/catalog/view/doi:10.18739/A2127T"
"doi:10.18739/A2129K",20,173,55,"https://arcticdata.io/catalog/view/doi:10.18739/A2129K"
"doi:10.18739/A2130H",24,32,249,"https://arcticdata.io/catalog/view/doi:10.18739/A2130H"
"doi:10.18739/A21328",96,169,37,"https://arcticdata.io/catalog/view/doi:10.18739/A21328"
"doi:10.18739/A2133N",76,19,165,"https://arcticdata.io/catalog/view/doi:10.18739/A2133N"
"doi:10.18739/A21341",32,170,25,"https://arcticdata.io/catalog/view/doi:10.18739/A21341"
"doi:10.18739/A21375",11,10,238,"https://arcticdata.io/catalog/view/doi:10.18739/A21375"
"doi:10.18739/A2153B",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A2153B"
"doi:10.18739/A2154DN82",13,171,52,"https://arcticdata.io/catalog/view/doi:10.18739/A2154DN82"
"doi:10.18739/A2154DN9J",109,8,62,"https://arcticdata.io/catalog/view/doi:10.18739/A2154DN9J"
"doi:10.18739/A2154Q",30,33,119,"https://arcticdata.io/catalog/view/doi:10.18739/A2154Q"
"doi:10.18739/A2160J",3,34,129,"https://arcticdata.io/catalog/view/doi:10.18739/A2160J"
"doi:10.18739/A2165F",80,15,133,"https://arcticdata.io/catalog/view/doi:10.18739/A2165F"
"doi:10.18739/A21820",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A21820"
"doi:10.18739/A2183C",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A2183C"
"doi:10.18739/A2195G",38,16,235,"https://arcticdata.io/catalog/view/doi:10.18739/A2195G"
"doi:10.18739/A21B9B",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A21B9B"
"doi:10.18739/A21C08",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A21C08"
"doi:10.18739/A21C1N",7,35,100,"https://arcticdata.io/catalog/view/doi:10.18739/A21C1N"
"doi:10.18739/A21C1TF69",23,167,24,"https://arcticdata.io/catalog/view/doi:10.18739/A21C1TF69"
"doi:10.18739/A21C21",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A21C21"
"doi:10.18739/A21C89",33,170,35,"https://arcticdata.io/catalog/view/doi:10.18739/A21C89"
"doi:10.18739/A21D10",22,36,152,"https://arcticdata.io/catalog/view/doi:10.18739/A21D10"
"doi:10.18739/A21D2C",1,27,154,"https://arcticdata.io/catalog/view/doi:10.18739/A21D2C"
"doi:10.18739/A21F9C",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A21F9C"
"doi:10.18739/A21G09",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A21G09"
"doi:10.18739/A21G22",1,37,226,"https://arcticdata.io/catalog/view/doi:10.18739/A21G22"
"doi:10.18739/A21G56",19,38,109,"https://arcticdata.io/catalog/view/doi:10.18739/A21G56"
"doi:10.18739/A21G6K",53,22,244,"https://arcticdata.io/catalog/view/doi:10.18739/A21G6K"
"doi:10.18739/A21H11",80,15,133,"https://arcticdata.io/catalog/view/doi:10.18739/A21H11"
"doi:10.18739/A21H2D",38,16,235,"https://arcticdata.io/catalog/view/doi:10.18739/A21H2D"
"doi:10.18739/A21H3S",97,5,51,"https://arcticdata.io/catalog/view/doi:10.18739/A21H3S"
"doi:10.18739/A21J5W",33,170,35,"https://arcticdata.io/catalog/view/doi:10.18739/A21J5W"
"doi:10.18739/A21J7N",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A21J7N"
"doi:10.18739/A21J9773W",109,8,62,"https://arcticdata.io/catalog/view/doi:10.18739/A21J9773W"
"doi:10.18739/A21J9774C",2,39,175,"https://arcticdata.io/catalog/view/doi:10.18739/A21J9774C"
"doi:10.18739/A21J9D",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A21J9D"
"doi:10.18739/A21K4V",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A21K4V"
"doi:10.18739/A21M2F",3,40,103,"https://arcticdata.io/catalog/view/doi:10.18739/A21M2F"
"doi:10.18739/A21N69",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A21N69"
"doi:10.18739/A21N7P",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A21N7P"
"doi:10.18739/A21N7XM2W",5,41,75,"https://arcticdata.io/catalog/view/doi:10.18739/A21N7XM2W"
"doi:10.18739/A21N7XM4V",109,8,62,"https://arcticdata.io/catalog/view/doi:10.18739/A21N7XM4V"
"doi:10.18739/A21N7XM5B",6,42,66,"https://arcticdata.io/catalog/view/doi:10.18739/A21N7XM5B"
"doi:10.18739/A21N7XM6T",50,171,52,"https://arcticdata.io/catalog/view/doi:10.18739/A21N7XM6T"
"doi:10.18739/A21N82",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A21N82"
"doi:10.18739/A21P1R",8,43,246,"https://arcticdata.io/catalog/view/doi:10.18739/A21P1R"
"doi:10.18739/A21P3H",44,171,52,"https://arcticdata.io/catalog/view/doi:10.18739/A21P3H"
"doi:10.18739/A21P4W",53,22,244,"https://arcticdata.io/catalog/view/doi:10.18739/A21P4W"
"doi:10.18739/A21P58",53,23,113,"https://arcticdata.io/catalog/view/doi:10.18739/A21P58"
"doi:10.18739/A21P9S",4,44,99,"https://arcticdata.io/catalog/view/doi:10.18739/A21P9S"
"doi:10.18739/A21Q0Q",28,170,59,"https://arcticdata.io/catalog/view/doi:10.18739/A21Q0Q"
"doi:10.18739/A21R6B",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A21R6B"
"doi:10.18739/A21R6N07K",6,3,26,"https://arcticdata.io/catalog/view/doi:10.18739/A21R6N07K"
"doi:10.18739/A21R7Q",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A21R7Q"
"doi:10.18739/A21R9G",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A21R9G"
"doi:10.18739/A21S1S",20,45,105,"https://arcticdata.io/catalog/view/doi:10.18739/A21S1S"
"doi:10.18739/A21S8F",4,46,12,"https://arcticdata.io/catalog/view/doi:10.18739/A21S8F"
"doi:10.18739/A21V2V",97,5,51,"https://arcticdata.io/catalog/view/doi:10.18739/A21V2V"
"doi:10.18739/A21V7R",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A21V7R"
"doi:10.18739/A21V9H",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A21V9H"
"doi:10.18739/A21W1T",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A21W1T"
"doi:10.18739/A21W26",26,4,225,"https://arcticdata.io/catalog/view/doi:10.18739/A21W26"
"doi:10.18739/A21W5B",5,47,160,"https://arcticdata.io/catalog/view/doi:10.18739/A21W5B"
"doi:10.18739/A21W6Q",76,19,165,"https://arcticdata.io/catalog/view/doi:10.18739/A21W6Q"
"doi:10.18739/A21W73",12,170,76,"https://arcticdata.io/catalog/view/doi:10.18739/A21W73"
"doi:10.18739/A21W8G",97,5,51,"https://arcticdata.io/catalog/view/doi:10.18739/A21W8G"
"doi:10.18739/A21Z38",3,48,197,"https://arcticdata.io/catalog/view/doi:10.18739/A21Z38"
"doi:10.18739/A21Z41S49",109,8,62,"https://arcticdata.io/catalog/view/doi:10.18739/A21Z41S49"
"doi:10.18739/A21Z51",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A21Z51"
"doi:10.18739/A21Z7S",30,33,119,"https://arcticdata.io/catalog/view/doi:10.18739/A21Z7S"
"doi:10.18739/A22015",5,49,96,"https://arcticdata.io/catalog/view/doi:10.18739/A22015"
"doi:10.18739/A22062",14,170,48,"https://arcticdata.io/catalog/view/doi:10.18739/A22062"
"doi:10.18739/A2221V",97,5,51,"https://arcticdata.io/catalog/view/doi:10.18739/A2221V"
"doi:10.18739/A2222R54H",13,29,17,"https://arcticdata.io/catalog/view/doi:10.18739/A2222R54H"
"doi:10.18739/A2222R550",12,8,157,"https://arcticdata.io/catalog/view/doi:10.18739/A2222R550"
"doi:10.18739/A22240",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A22240"
"doi:10.18739/A2226R",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A2226R"
"doi:10.18739/A22274",4,50,210,"https://arcticdata.io/catalog/view/doi:10.18739/A22274"
"doi:10.18739/A2230T",24,32,249,"https://arcticdata.io/catalog/view/doi:10.18739/A2230T"
"doi:10.18739/A2234B",32,170,25,"https://arcticdata.io/catalog/view/doi:10.18739/A2234B"
"doi:10.18739/A22363",80,15,133,"https://arcticdata.io/catalog/view/doi:10.18739/A22363"
"doi:10.18739/A2237G",21,28,237,"https://arcticdata.io/catalog/view/doi:10.18739/A2237G"
"doi:10.18739/A2251FJ9S",109,8,62,"https://arcticdata.io/catalog/view/doi:10.18739/A2251FJ9S"
"doi:10.18739/A22528",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A22528"
"doi:10.18739/A2253N",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A2253N"
"doi:10.18739/A22541",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A22541"
"doi:10.18739/A2255D",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A2255D"
"doi:10.18739/A2258J",19,38,109,"https://arcticdata.io/catalog/view/doi:10.18739/A2258J"
"doi:10.18739/A2259X",2,51,140,"https://arcticdata.io/catalog/view/doi:10.18739/A2259X"
"doi:10.18739/A2260V",33,170,25,"https://arcticdata.io/catalog/view/doi:10.18739/A2260V"
"doi:10.18739/A2262M",3,170,44,"https://arcticdata.io/catalog/view/doi:10.18739/A2262M"
"doi:10.18739/A2265R",80,15,133,"https://arcticdata.io/catalog/view/doi:10.18739/A2265R"
"doi:10.18739/A22664",97,5,51,"https://arcticdata.io/catalog/view/doi:10.18739/A22664"
"doi:10.18739/A22804Z0R",16,170,76,"https://arcticdata.io/catalog/view/doi:10.18739/A22804Z0R"
"doi:10.18739/A22804Z17",4,8,219,"https://arcticdata.io/catalog/view/doi:10.18739/A22804Z17"
"doi:10.18739/A2280J",1,52,155,"https://arcticdata.io/catalog/view/doi:10.18739/A2280J"
"doi:10.18739/A22829",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A22829"
"doi:10.18739/A2283P",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A2283P"
"doi:10.18739/A22842",2,53,122,"https://arcticdata.io/catalog/view/doi:10.18739/A22842"
"doi:10.18739/A2292N",22,36,152,"https://arcticdata.io/catalog/view/doi:10.18739/A2292N"
"doi:10.18739/A2294D",38,16,235,"https://arcticdata.io/catalog/view/doi:10.18739/A2294D"
"doi:10.18739/A22B8VB3J",45,13,1,"https://arcticdata.io/catalog/view/doi:10.18739/A22B8VB3J"
"doi:10.18739/A22B8VB41",29,17,236,"https://arcticdata.io/catalog/view/doi:10.18739/A22B8VB41"
"doi:10.18739/A22B9N",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A22B9N"
"doi:10.18739/A22C0K",6,54,111,"https://arcticdata.io/catalog/view/doi:10.18739/A22C0K"
"doi:10.18739/A22C1Z",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A22C1Z"
"doi:10.18739/A22C6V",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A22C6V"
"doi:10.18739/A22C77",97,169,37,"https://arcticdata.io/catalog/view/doi:10.18739/A22C77"
"doi:10.18739/A22C90",1,55,89,"https://arcticdata.io/catalog/view/doi:10.18739/A22C90"
"doi:10.18739/A22D19",3,20,106,"https://arcticdata.io/catalog/view/doi:10.18739/A22D19"
"doi:10.18739/A22D2P",8,56,142,"https://arcticdata.io/catalog/view/doi:10.18739/A22D2P"
"doi:10.18739/A22D32",80,15,133,"https://arcticdata.io/catalog/view/doi:10.18739/A22D32"
"doi:10.18739/A22F7JQ7B",4,57,101,"https://arcticdata.io/catalog/view/doi:10.18739/A22F7JQ7B"
"doi:10.18739/A22F7JQ99",12,58,167,"https://arcticdata.io/catalog/view/doi:10.18739/A22F7JQ99"
"doi:10.18739/A22F9P",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A22F9P"
"doi:10.18739/A22G0M",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A22G0M"
"doi:10.18739/A22G10",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A22G10"
"doi:10.18739/A22G6W",53,22,244,"https://arcticdata.io/catalog/view/doi:10.18739/A22G6W"
"doi:10.18739/A22G78",11,169,42,"https://arcticdata.io/catalog/view/doi:10.18739/A22G78"
"doi:10.18739/A22H0Z",76,19,165,"https://arcticdata.io/catalog/view/doi:10.18739/A22H0Z"
"doi:10.18739/A22H2Q",80,15,133,"https://arcticdata.io/catalog/view/doi:10.18739/A22H2Q"
"doi:10.18739/A22H33",25,59,245,"https://arcticdata.io/catalog/view/doi:10.18739/A22H33"
"doi:10.18739/A22J6842N",109,8,62,"https://arcticdata.io/catalog/view/doi:10.18739/A22J6842N"
"doi:10.18739/A22J6K",8,60,132,"https://arcticdata.io/catalog/view/doi:10.18739/A22J6K"
"doi:10.18739/A22J8B",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A22J8B"
"doi:10.18739/A22J9Q",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A22J9Q"
"doi:10.18739/A22K0N",1,61,242,"https://arcticdata.io/catalog/view/doi:10.18739/A22K0N"
"doi:10.18739/A22K11",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A22K11"
"doi:10.18739/A22K3S",6,62,87,"https://arcticdata.io/catalog/view/doi:10.18739/A22K3S"
"doi:10.18739/A22K45",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A22K45"
"doi:10.18739/A22M00",1,63,224,"https://arcticdata.io/catalog/view/doi:10.18739/A22M00"
"doi:10.18739/A22M1C",13,169,37,"https://arcticdata.io/catalog/view/doi:10.18739/A22M1C"
"doi:10.18739/A22M2R",14,64,232,"https://arcticdata.io/catalog/view/doi:10.18739/A22M2R"
"doi:10.18739/A22N4ZH24",45,13,1,"https://arcticdata.io/catalog/view/doi:10.18739/A22N4ZH24"
"doi:10.18739/A22N4ZH43",109,8,62,"https://arcticdata.io/catalog/view/doi:10.18739/A22N4ZH43"
"doi:10.18739/A22N4ZH5K",3,65,86,"https://arcticdata.io/catalog/view/doi:10.18739/A22N4ZH5K"
"doi:10.18739/A22N6M",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A22N6M"
"doi:10.18739/A22N70",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A22N70"
"doi:10.18739/A22P46",53,22,244,"https://arcticdata.io/catalog/view/doi:10.18739/A22P46"
"doi:10.18739/A22P5K",26,4,225,"https://arcticdata.io/catalog/view/doi:10.18739/A22P5K"
"doi:10.18739/A22P6Z",53,23,113,"https://arcticdata.io/catalog/view/doi:10.18739/A22P6Z"
"doi:10.18739/A22P8Q",76,19,165,"https://arcticdata.io/catalog/view/doi:10.18739/A22P8Q"
"doi:10.18739/A22P93",1,66,27,"https://arcticdata.io/catalog/view/doi:10.18739/A22P93"
"doi:10.18739/A22Q2S",25,59,245,"https://arcticdata.io/catalog/view/doi:10.18739/A22Q2S"
"doi:10.18739/A22R3NW5F",53,23,113,"https://arcticdata.io/catalog/view/doi:10.18739/A22R3NW5F"
"doi:10.18739/A22R3NW6X",7,2,231,"https://arcticdata.io/catalog/view/doi:10.18739/A22R3NW6X"
"doi:10.18739/A22R8D",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A22R8D"
"doi:10.18739/A22S2G",124,8,62,"https://arcticdata.io/catalog/view/doi:10.18739/A22S2G"
"doi:10.18739/A22S8R",5,67,136,"https://arcticdata.io/catalog/view/doi:10.18739/A22S8R"
"doi:10.18739/A22T02",3,40,103,"https://arcticdata.io/catalog/view/doi:10.18739/A22T02"
"doi:10.18739/A22V25",104,168,8,"https://arcticdata.io/catalog/view/doi:10.18739/A22V25"
"doi:10.18739/A22V2C885",33,7,128,"https://arcticdata.io/catalog/view/doi:10.18739/A22V2C885"
"doi:10.18739/A22V2C917",109,8,62,"https://arcticdata.io/catalog/view/doi:10.18739/A22V2C917"
"doi:10.18739/A22V59",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A22V59"
"doi:10.18739/A22V6P",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A22V6P"
"doi:10.18739/A22V9T",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A22V9T"
"doi:10.18739/A22W0R",19,9,138,"https://arcticdata.io/catalog/view/doi:10.18739/A22W0R"
"doi:10.18739/A22W61",34,170,25,"https://arcticdata.io/catalog/view/doi:10.18739/A22W61"
"doi:10.18739/A22Z12P4J",105,8,62,"https://arcticdata.io/catalog/view/doi:10.18739/A22Z12P4J"
"doi:10.18739/A22Z4Z",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A22Z4Z"
"doi:10.18739/A22Z8G",1,68,185,"https://arcticdata.io/catalog/view/doi:10.18739/A22Z8G"
"doi:10.18739/A22Z9V",27,13,1,"https://arcticdata.io/catalog/view/doi:10.18739/A22Z9V"
"doi:10.18739/A2302V",24,32,249,"https://arcticdata.io/catalog/view/doi:10.18739/A2302V"
"doi:10.18739/A23050",7,69,91,"https://arcticdata.io/catalog/view/doi:10.18739/A23050"
"doi:10.18739/A2307R",80,15,133,"https://arcticdata.io/catalog/view/doi:10.18739/A2307R"
"doi:10.18739/A2318G",97,5,51,"https://arcticdata.io/catalog/view/doi:10.18739/A2318G"
"doi:10.18739/A2319S246",3,179,4,"https://arcticdata.io/catalog/view/doi:10.18739/A2319S246"
"doi:10.18739/A2319S25P",97,5,51,"https://arcticdata.io/catalog/view/doi:10.18739/A2319S25P"
"doi:10.18739/A2325P",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A2325P"
"doi:10.18739/A23296",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A23296"
"doi:10.18739/A23351",10,14,110,"https://arcticdata.io/catalog/view/doi:10.18739/A23351"
"doi:10.18739/A2336D",3,70,186,"https://arcticdata.io/catalog/view/doi:10.18739/A2336D"
"doi:10.18739/A2348GF9G",29,17,236,"https://arcticdata.io/catalog/view/doi:10.18739/A2348GF9G"
"doi:10.18739/A2348GG0K",109,8,62,"https://arcticdata.io/catalog/view/doi:10.18739/A2348GG0K"
"doi:10.18739/A2352K",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A2352K"
"doi:10.18739/A2353Z",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A2353Z"
"doi:10.18739/A2354B",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A2354B"
"doi:10.18739/A23563",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A23563"
"doi:10.18739/A2357G",16,172,5,"https://arcticdata.io/catalog/view/doi:10.18739/A2357G"
"doi:10.18739/A23597",104,8,62,"https://arcticdata.io/catalog/view/doi:10.18739/A23597"
"doi:10.18739/A23605",15,172,57,"https://arcticdata.io/catalog/view/doi:10.18739/A23605"
"doi:10.18739/A23775V2D",100,168,8,"https://arcticdata.io/catalog/view/doi:10.18739/A23775V2D"
"doi:10.18739/A2379X",97,5,51,"https://arcticdata.io/catalog/view/doi:10.18739/A2379X"
