"ID","degree","eigen_clust","walk_clust","LastName","ORCID"
"0edd931f-7efb-42d0-8fc0-3c11d522cfae",2,118,164,"McClelland",""
"0ef445c3-4371-48e8-8c0c-6814b43de48a",4,1,24,"Post",""
"0ef96fa5-0a14-47e8-8af6-367e01cfde30",1,258,312,"Granger",""
"0f05a4e0-eeea-4975-802a-51daf186e0ad",4,1,24,"Post",""
"0f2bbb05-c74f-4c9b-8a01-8dbcd2590609",6,242,238,"Shiklomanov",""
"0f2f8a4d-3b99-4f72-9d69-4624b5a87354",3,283,6,"Pearson",""
"0f3f9f9f-73ba-403f-90d4-7cc54750dbed",4,1,24,"Hauer",""
"0f7da653-95fe-4c04-ae86-6dde3fc1d1d2",55,283,6,"Ping",""
"0f7ff5c7-804f-42b7-8202-a2abbb2e109b",1,199,301,"Tweedie",""
"0f82a9a4-3884-43b0-8bb6-c0d42dd2a9c7",1,289,6,"Miles",""
"0f9c2d36-4a75-4bc5-a797-42ee202705c3",5,40,85,"Coopman","https://orcid.org/0000-0001-7171-2134"
"0fa6a9a5-5091-4ea0-92a8-63fa57ab2cbe",9,245,15,"Ray",""
"0fbb04dc-102c-465b-9547-92a86be7737f",6,3,45,"Stabeno",""
"0fc90673-4436-42c4-8a37-bb2dcda9eed1",3,50,202,"Czimczik",""
"0fd873c4-235b-4b0f-897e-d206e80000fa",13,287,20,"Mann",""
"1004df84-c47b-483a-a86a-5283ce8a2346",10,114,257,"Gradinger",""
"10267b1e-d339-46a3-ba4e-d35075555304",4,1,24,"Hauer",""
"1028640f-a3c9-4414-b1c6-5a80a4fd3b75",1,29,104,"Mack",""
"105c63c5-e158-4df5-80ff-bf25347e0aef",1,6,266,"Oberbauer",""
"10661012-5c46-4152-83a0-e07702b8c87c",55,283,6,"Michaelson",""
"106c98e1-a113-4247-ba82-70920effb97c",8,259,165,"Mouy",""
"10917798-8fa1-4d7a-93b4-4be849f59100",3,289,78,"Rugh",""
"10b0ea81-a6db-442c-ba86-b0d56344257f",1,88,195,"Sullivan",""
"10b80655-e1cd-4751-8d85-10a56482175a",1,81,204,"Whittleston","https://orcid.org/0000-0002-5364-8543"
"111293fb-1255-476f-8ff5-e64788dc7949",3,289,19,"Best",""
"11433376-935b-4fcd-a2d3-5acccb8a4521",6,283,6,"Anderson",""
"118fc5ef-dca3-4787-8d2b-05990a2e10a0",4,1,24,"Post",""
"11b04e7f-fd33-44c1-b930-f9945bd4d99a",3,98,148,"Hawley",""
"11e5a47e-a011-4c37-9a7e-1898d8bb01bc",1,271,325,"Schenk",""
"11ea8f53-5cf5-4f09-b9a6-776577c72c43",49,286,6,"Kicklighter",""
"12374239-3c88-4165-a9d8-060f4bd6102d",4,1,24,"Hauer",""
"123db391-e818-4f92-bfb3-dcadf9afbeb9",3,289,16,"Sharp",""
"1251a5d1-1d00-4d38-b38e-3011458bdd2b",2,289,61,"Davis",""
"1255b065-7280-4393-8cea-2afebc24616e",4,1,24,"Post",""
"12650995-f27c-42c7-ad4c-ea109c93e603",2,172,26,"Torres",""
"12c1d2be-af1e-4967-aed2-1edc1b6429ab",10,62,7,"Van Dam",""
"12ce4a1f-4208-417a-ae3c-c22087c6ebfe",16,21,10,"Osterberg","https://orcid.org/0000-0002-0675-1230"
"12f76c63-319a-4708-a7e4-621865297244",4,1,24,"Hauer",""
"12f7dbee-7907-4e05-8722-1ee1eb614292",2,159,99,"Shakhova",""
"1323625a-ea2a-4c30-a72a-aef52d0ad619",4,1,24,"Hauer",""
"13252d9a-737f-4066-aab2-8c864fb6f03c",4,1,24,"Post",""
"1326802f-48c4-4ba2-b6e4-cc19b8599a90",7,286,6,"Wofsy",""
"13275c66-534e-4993-ab67-e151b2a51a97",3,239,234,"Baker",""
"1327e03d-655b-4af6-b01b-1dc01dfe35b7",6,79,149,"Meyers",""
"13415070-e754-4cdb-ad76-82fef1d18fd2",2,186,167,"Gooseff",""
"134487b9-f343-48ff-93de-6e1345cc6c4f",13,249,250,"McFarland",""
"134bc3ee-e3e8-4db8-817f-1a8856a0ee3b",4,1,24,"Hauer",""
"13510ec2-9491-438d-bcdc-de6147afbec0",13,269,318,"June",""
"1375bdb2-caab-4638-9042-0edd94cd43bc",3,55,34,"Verhulst","https://orcid.org/0000-0001-5678-9678"
"13812e88-a1e5-459e-9c33-ebd3c2b824d2",4,1,24,"Post",""
"138fca2d-141f-40cd-b778-a7a0f931b5df",4,1,24,"Post",""
"139d080f-660b-4d5e-8d7b-45f2cf4886e2",1,252,274,"Vincenzi",""
"139dc71e-d439-419d-a118-2cbbb4f865b6",4,1,24,"Post",""
"139e0845-6883-445b-b37b-281499aabd3c",1,289,33,"Buckeridge",""
"13c482a0-811b-4642-9e66-f27d30d569bd",4,1,24,"Hauer",""
"13df831f-4a2f-41a3-9d8e-0fd8108e9d02",7,286,6,"McClelland",""
"140746e1-e164-493f-b900-0e35b5e0e365",3,289,18,"Sorarrain-Pilz",""
"14129e89-4249-4953-937f-08fc938592c3",5,13,9,"Nash",""
"14201157-3b24-4002-81c7-c4847ad6cc6f",3,60,249,"Czimczik",""
"1426844c-4a30-417c-9d3f-5c9ba420b112",3,238,224,"Whiteman",""
"1442b89d-18e5-4b0b-a1fe-cce0f0020b6d",2,268,92,"Pope",""
"144f7a34-3bcf-4d8f-a44c-b43d3457420b",1,3,5,"Tateyama",""
"14691992-7c8f-428b-b70a-6a62fb6b17ef",7,289,32,"Konar",""
"14820575-af16-4c6b-9bcc-85f41af34452",1,39,314,"Harms",""
